,Overseas ($mill)
0,-0.7289096694816684
1,-0.4697316403148504
2,-0.43069227190478565
3,-0.9935098331498843
4,-0.6182981256531518
5,-0.6524575730119584
6,-0.8753073010194107
7,-0.892658131423884
8,-0.4724427075655493
9,-0.7771666665441094
10,-0.7863842951964857
11,-0.6367333829579046
12,-0.7001723566242597
13,-0.8362679326093462
14,-0.6633018420147542
15,-0.729994096381948
16,-0.32333400877710794
17,-0.6275157543055283
18,-0.6399866636587432
19,-0.5857653186447646
20,-0.7289096694816684
21,-0.7045100642253779
22,-0.7072211314760768
23,-1.0813484120725296
24,-0.7327051636326469
25,-0.4106303742496136
26,-0.8818138624210883
27,-0.7755400261936899
28,-0.4583451578619147
29,-0.8194593156550127
30,-0.9544704647398196
31,-0.5109398625254741
32,-0.7782510934443888
33,-0.7609002630399158
34,-0.7012567835245392
35,-0.5581124326876356
36,-0.813494967703475
37,-0.6361911695077648
38,-0.8677163127174536
39,-0.5662456344397323
40,-0.5814276110436464
41,-0.7587314092393566
42,-0.37050657893926936
43,-0.3374315584807424
44,-0.5277484794798075
45,-0.41008816079947386
46,-0.7701178916922921
47,-0.6416133040091627
48,-0.5651612075394528
49,-0.6302268215562272
50,-0.8384367864099053
51,-0.6546264268125176
52,-0.5890185993456034
53,-0.26314831581159154
54,-0.3417692660818606
55,-0.9544704647398196
56,-0.892115917973744
57,-0.7213186811797112
58,-0.6557108537127971
59,-0.43665661985632326
60,-0.7912642162477438
61,-0.5131087163260333
62,-0.7874687220967653
63,-0.4084615204490544
64,-0.5022644473232376
65,-0.44478982160842007
66,-0.2804991462160648
67,-0.3417692660818606
68,-0.6730616841172703
69,-0.7234875349802704
70,-0.8454855612617225
71,-0.2707393041135486
72,-0.8590408975152171
73,-0.4073770935487749
74,-0.8937425583241635
75,-0.5749210496419689
76,-0.7956019238488621
77,-0.8433167074611633
78,-0.7332473770827866
79,-0.23495321640432268
80,-0.6952924355730016
81,-0.6958346490231413
82,-0.7538514881880984
83,-0.0066813538954725174
84,-0.6107071373511949
85,-0.7050522776755177
86,-0.7782510934443888
87,-0.6952924355730016
88,-0.4632250789131728
89,-0.4605140116624739
90,-0.7023412104248187
91,-0.6139604180520336
92,-0.8964536255748624
93,-0.6871592338209048
94,-0.5684144882402915
95,-0.7066789180259371
96,-0.8156638215040342
97,-0.9951364735003035
98,-0.4556340906112158
99,-0.7755400261936899
100,-0.4979267397221192
101,-0.7918064296978835
102,-0.49575788592156006
103,-0.7207764677295715
104,-0.8346412922589267
105,-1.0808061986223898
106,-0.8308457981079482
107,-0.7354162308833458
108,-0.3298405701787853
109,-0.4523808099103771
110,-0.08584451761588134
111,-0.8834405027715075
112,-0.2539306871592152
113,-0.31032088597375307
114,-0.5884763858954635
115,-0.8725962337687118
116,-0.28863234796816156
117,-0.2669438099625701
118,-0.7614424764900555
119,-0.7663223975413136
120,-0.3894840496941619
121,-0.19103392694299998
122,-0.8725962337687118
123,-0.9707368682440132
124,-0.44045211400730183
125,-0.6963768624732811
126,-0.45400745026079653
127,-0.7424650057351629
128,-0.7825888010455072
129,-0.5418460291834419
130,-0.3867729824434629
131,-0.6746883244676897
132,-0.6475776519607003
133,-0.4062926666484952
134,-0.5488948040352591
135,-0.6595063478637756
136,-0.19320278074355918
137,-0.6887858741713241
138,-0.7435494326354426
139,-0.5966095876475603
140,-0.43557219295604377
141,-0.6139604180520336
142,-0.3466491871331187
143,-0.6958346490231413
144,-0.048974003006375784
145,-0.5299173332803666
146,-0.047347362655956515
147,-0.28917456141830133
148,-0.13410151467832238
149,-0.14060807607999976
150,-0.17639416378922565
151,-0.48274476311820513
152,-0.7484293536867006
153,-0.7218608946298511
154,-0.6172136987528722
155,-0.23224214915362373
156,-0.7001723566242597
157,-0.320622941526409
158,-0.38568855554318343
159,-0.6519153595618187
160,-0.43123448535492537
161,-0.055480564408053316
162,-0.5629923537388936
163,-0.44045211400730183
164,-0.3954483976456995
165,-0.35640902923563494
166,-0.053311710607494144
167,-0.6004050817985389
168,-0.5624501402887538
169,-0.6047427893996571
170,-0.6839059531200661
171,-0.46268286546303306
172,-0.9886299120986262
173,-0.13030602052734377
174,-0.7717445320427114
175,-0.4838291900184848
176,-0.6692661899662917
177,-0.5787165437929475
178,-0.40520823974821574
179,-0.8612097513157763
180,-0.47732262861680724
181,-0.9490483302384216
182,-0.5098554356251944
183,-0.6150448449523132
184,-0.4561763040613557
185,-0.08313345036518241
186,-0.6351067426074853
187,-0.638360023308324
188,-0.4816603362179256
189,-0.04355186850497792
190,-0.2734503713642475
191,-0.5055177280240762
192,-1.0471889647137231
193,-0.7609002630399158
194,-0.6253469005049691
195,-0.5657034209895926
196,-0.8275925174071096
197,-0.9241065115319915
198,-0.08096459656462324
199,-0.31682744737543045
200,-0.5765476899923883
201,-0.16229661408559123
202,-0.39490618419555973
203,-0.5044333011237966
204,-0.5038910876736569
205,-0.6258891139551088
206,-0.605285002849797
207,-0.6269735408553885
208,0.16357366944842053
209,-0.7495137805869803
210,-0.24633969885725818
211,-0.20079376904551605
212,-0.7760822396438298
213,-0.28266800001662395
214,-0.21760238599984957
215,-0.6036583624993777
216,-0.6936657952225822
217,-0.06686704686098881
218,-0.12976380707720403
219,-0.31953851462612937
220,-0.6454087981601412
221,-0.6047427893996571
222,0.0014518478566242826
223,-0.5575702192374957
224,-0.19916712869509678
225,-0.7267408156811092
226,0.10067690923220515
227,-0.6123337777016141
228,0.08169943847731262
229,-0.6719772572169908
230,-0.5830542513940656
231,-0.9100089618283571
232,-0.4887091110697429
233,-0.5814276110436464
234,-0.612875991151754
235,-0.6036583624993777
236,-0.6020317221489582
237,-0.003970286644773584
238,-0.5711255554909904
239,-0.9739901489448519
240,-0.7365006577836254
241,-0.28917456141830133
242,-0.2165179590995699
243,-0.5575702192374957
244,0.01880267826109755
245,-0.24959297955809687
246,0.12290766068793653
247,-0.19645606144439784
248,-0.21922902635026884
249,-0.2121802514984517
250,-0.5028066607733773
251,-0.7874687220967653
252,0.23785691211757123
253,-0.21380689184887097
254,-0.35912009648633386
255,-0.19482942109397844
256,-0.18615400589174189
257,-0.36508444443787147
258,0.03723793556585017
259,-0.6795682455189478
260,-0.5846808917444851
261,-0.24145977780600006
262,-0.5629923537388936
263,-0.6627596285646143
264,-0.054396137507773654
265,-0.18235851174076342
266,-0.2506774064583765
267,-0.34610697368297894
268,-0.2842946403670432
269,-0.8839827162216473
270,-0.8368101460594859
271,-0.28917456141830133
272,0.27147414602623793
273,-0.35424017543507574
274,-0.30272989767179603
275,-0.6844481665702059
276,0.15598268114646363
277,-0.5982362279979797
278,-0.38189306139220486
279,0.15815153494702267
280,-0.7945174969485824
281,-0.59769401454784
282,-0.5819698244937861
283,-0.5223263449784096
284,-0.4556340906112158
285,-0.02728546500078432
286,-0.0018014328442144067
287,-0.7831310144956469
288,-0.3813508479420651
289,-0.7777088799942491
290,-0.28809013451802185
291,-0.5548591519867968
292,-0.6871592338209048
293,-0.5488948040352591
294,-0.44533203505855995
295,-0.4952156724714203
296,-0.052769497157354385
297,0.16574252324897956
298,0.3408774676441307
299,-0.4084615204490544
300,-0.5613657133884742
301,-0.3108630994238928
302,-0.3423114795320005
303,-0.21380689184887097
304,0.30238031268420607
305,-0.8368101460594859
306,-0.6416133040091627
307,-0.4675627865142912
308,-0.2523040468087958
309,-0.7679490378917331
310,-0.09939985386937601
311,-0.6714350437668509
312,-0.8986224793754216
313,-0.23820649710516137
314,-0.3894840496941619
315,-0.46810499996443095
316,0.014464970659979193
317,0.0882059998789903
318,0.28665612263015205
319,-0.483286976568345
320,0.28340284192931353
321,-0.40195495904737705
322,-0.33960041228130156
323,-0.7289096694816684
324,-0.48545583036890405
325,-0.7609002630399158
326,-0.5223263449784096
327,-0.313031953224452
328,-0.6779416051685284
329,-0.3184540877258499
330,0.922130286193982
331,0.15760932149688275
332,-0.7717445320427114
333,-0.5765476899923883
334,-0.325502862577667
335,0.35226395009706635
336,-0.5434726695338613
337,-0.4279812046540867
338,-0.049516216456515695
339,0.25303888872148533
340,-0.056564991308332827
341,0.0882059998789903
342,0.19502204955652822
343,0.46558656117628167
344,-0.30001883042109706
345,-0.2165179590995699
346,0.17170687120051734
347,-0.3189963011759896
348,-0.43719883330646314
349,-0.6784838186186681
350,-0.564618994089313
351,-0.3976172514462587
352,0.09471256128066768
353,-0.19157614039313975
354,-0.3238762222272477
355,-0.10861748252175232
356,0.11911216653695808
357,-0.5662456344397323
358,-0.5657034209895926
359,-0.8742228741191312
360,-0.04192522815455865
361,-0.6291423946559476
362,-0.1856117924416021
363,-0.3352627046801832
364,-0.34773361403339836
365,0.2573765963226037
366,-0.6454087981601412
367,-0.2073003304471936
368,0.19231098230582927
369,-0.12379945912566641
370,-0.1145818304732901
371,-0.20946918424775277
372,-0.3184540877258499
373,0.6634944704773038
374,0.06543303497311902
375,-0.2457974854071184
376,-0.1677187485869891
377,-0.10915969597189223
378,0.31810450273825974
379,-0.20242040939593547
380,-0.10373756147049436
381,0.5133013447885829
382,-0.061987125809730696
383,-0.29839219007067763
384,-0.3043565380222154
385,0.007958409258301815
386,-0.00451250009491334
387,-0.04843178955623603
388,-0.508771008724915
389,-0.35315574853479625
390,-0.2902589883185809
391,-0.1145818304732901
392,-0.24796633920767758
393,0.44281359627041067
394,0.4536578652732064
395,0.5761981050047983
396,0.5008304354353678
397,-0.3580356695860542
398,-0.2870057076177422
399,0.16791137704953887
400,-0.22682001465222587
401,-0.11566625737356961
402,-0.15416341233349443
403,-0.3759287134406672
404,-0.19103392694299998
405,-0.0028858597444939185
406,-0.2674860234127099
407,0.4948660874838303
408,0.225928216214496
409,-0.01969447669882743
410,-0.35207132163451654
411,0.3002114588836467
412,0.07681951742605467
413,0.19881754370750665
414,-0.09289329246769863
415,-0.07988016966434372
416,-0.4127992280501728
417,0.45691114597404525
418,-0.4849136169187643
419,0.8521847511259496
420,0.13375192969073227
421,0.10718347063388284
422,0.2774384939777757
423,0.6087309120131855
424,0.4189562044642602
425,0.1201965934372376
426,-0.46485171926359226
427,0.37232584775223837
428,-0.08313345036518241
429,0.24707454076994756
430,0.027478093463334106
431,0.8641134470290248
432,0.5382431634950132
433,0.6618678301268843
434,0.24544790041952844
435,-0.2729081579141077
436,0.9476143183505522
437,-0.06036048545931143
438,0.8332072803710571
439,0.023682599312355505
440,0.5290255348426366
441,0.11369003203556022
442,-0.3325516374294843
443,-0.07445803516294586
444,-0.3303827836289251
445,0.46612877462642155
446,1.0603947159796276
447,0.6380104383207339
448,-0.024574397750085384
449,-0.5423882426335817
450,1.2886665784884779
451,0.1277875817391945
452,0.16465809634870004
453,-0.17802080413964508
454,0.16682695014925938
455,0.7844080698584762
456,1.077203332933961
457,0.11097896478486129
458,0.9291790610457993
459,0.5029992892359271
460,-0.04843178955623603
461,-0.16066997373517197
462,0.993702461612434
463,1.041417245224735
464,0.24761675422008747
465,0.9215880727438424
466,-0.3954483976456995
467,-0.5223263449784096
468,-0.39978610524681785
469,0.962796294954466
470,-0.4491275292095384
471,0.46667098807656116
472,0.4482357307718085
473,1.189441517112897
474,-1.0482733916140028
475,1.2924620726394562
476,0.35334837699734584
477,-0.11566625737356961
478,0.7084981868389061
479,0.6027665640616477
480,-0.5765476899923883
481,0.8136875961660246
482,-0.03867194745371996
483,0.23135035071589385
484,0.9215880727438424
485,0.10284576303276448
486,1.3775895843114028
487,1.0045467306152298
488,1.3770473708612632
489,-0.5038910876736569
490,1.4084957509693707
491,-0.34881804093367785
492,0.9270102072452402
493,0.19990197060778617
494,1.1314246779479398
495,0.6027665640616477
496,-0.8932003448740238
497,-0.13139044742762346
498,1.062563569780187
499,1.2957153533402952
500,-0.21868681290012906
501,0.03506908176529115
502,1.4524150404306937
503,1.000751236464251
504,0.4590799997746043
505,0.914539297892025
506,0.14405398524338808
507,1.240409581426037
508,0.8223630113682613
509,1.4675970170346075
510,-0.5049755145739365
511,-0.028369891901063985
512,-0.03433423985260161
513,1.5407958328034788
514,-0.3759287134406672
515,1.0555147949283696
516,1.1888993036627573
517,1.3531899790551123
518,0.9047794557895088
519,-0.46702057306415146
520,0.670543245329121
521,1.646527455580737
522,0.5734870377540994
523,1.0408750317745954
524,0.7816970026077773
525,1.450788400080274
526,-0.41117258769975334
527,0.2096618127103024
528,0.556136207349626
529,1.9371538648556628
530,0.2188794413626787
531,0.5008304354353678
532,1.5782085608631238
533,-0.30056104387123683
534,1.2100456282182088
535,0.5008304354353678
536,1.0511770873272512
537,1.5961016047177372
538,1.5543511690569733
539,1.1222070492955634
540,0.37232584775223837
541,2.546059569362643
542,0.16628473669911947
543,0.7768170815565194
544,1.2463739293775744
545,0.2264704296646359
546,1.018644280318864
547,-0.5608234999383345
548,1.161788631155768
549,2.459847630790417
550,0.7209690961921212
551,2.470691899793213
552,2.4061684992265784
553,0.8885130522853153
554,1.932273943804405
555,1.6308032655266833
556,-0.566787847889872
557,1.6698426339367476
558,1.204623493716811
559,2.093853551946061
560,2.266277429090513
561,2.5357575138099873
562,2.1773544232675883
563,0.9308057013962187
564,0.5496296459479486
565,1.9550469087102755
566,2.2104294437261154
567,3.0270028996366336
568,3.3197981627121185
569,1.2111300551184883
570,2.4126750606282554
571,2.1144576630513727
572,-0.43665661985632326
573,3.024834045836075
574,1.2593870521809296
575,2.178981063618008
576,2.009810467174394
577,1.6790602625891242
578,2.8469880341902245
579,-0.40466602629807596
580,1.6785180491389844
581,1.8281689613775656
582,1.4361486369264997
583,3.0367627417391496
584,2.70655475060402
585,2.1502437507605987
586,3.4005879667829473
587,2.2277802741305885
588,3.6478373000466897
589,-0.7386695115841845
590,3.8723136684045616
591,-0.21760238599984957
592,2.6881194932992676
593,1.6600827918342318
594,4.957282782134274
595,0.00850062270844157
596,3.5182482854632813
597,1.726232832751286
598,2.0624051718379537
599,-0.9506749705888411
600,0.6043932044120671
601,-0.19320278074355918
602,-0.5206997046279902
603,-0.20567369009677416
604,0.36907256705139957
605,9.657731181396086
606,6.94991721139799
607,-0.2430864181564195
