Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),Overseas ($mill)
Wednesday,"Daniel Myrick, Eduardo Sanchez",horror,The Blair Witch Project,14/07/1999,Art House Studios,354.9,0.6,248.6,6.4,2.88,81,108.1
Friday,"Quentin Tarantino, Eli Roth",adventure,Inglourious Basterds,21/08/2009,Weinstein Company,356.4,70,321.5,8.3,4.02,153,200.9
Friday,George Miller,action,Mad Max: Fury Road,15/05/2015,WB,356.4,150,356.4,8.5,3.95,120,209.3
Friday,Brett Ratner,action,Rush Hour,18/09/1998,New Line Cinema,356.6,35,244.4,6.9,3.41,98,103.2
Friday,Steven Soderbergh,thriller,Ocean's Thirteen,8/6/2007,WB,357.1,85,311.3,6.9,3.5,122,194.2
Friday,Baz Luhrmann,drama,The Great Gatsby (2013),10/5/2013,WB,358.3,190,351,7.3,3.49,142,206.2
Friday,Oliver Stone,thriller,JFK,20/12/1991,WB,358.6,40,205.4,6.4,3.2,188,135
Friday,Neil Jordan,drama,Interview with the Vampire,11/11/1994,WB,359,50,223.7,7.6,3.49,123,118.4
Friday,Louis Leterrier,thriller,Now You See Me,31/05/2013,Lionsgate/Summit,359,75,351.7,7.3,3.54,115,234
Friday,Darren Aronofsky,drama,Black Swan,3/12/2010,Fox Searchlight Pictures,359.2,13,329.4,8,3.88,108,222.4
Friday,Robert Zemeckis,animation,A Christmas Carol (2009),6/11/2009,Buena Vista Studios,360.6,190,325.3,6.9,3.24,96,187.4
Friday,"Dean DeBlois, Chris Sanders",animation,Lilo & Stitch,21/06/2002,Buena Vista Studios,361,80,273.1,7.1,3.49,85,127.3
Friday,"Chris Renaud, Kyle Balda",animation,Dr. Seuss' The Lorax,2/3/2012,Universal,361.3,67.5,348.8,6.5,3.17,86,134.8
Friday,Shawn Levy,adventure,Night at the Museum: Secret of the Tomb,19/12/2014,Fox,362,127,360.4,6.3,2.78,98,246.6
Friday,Gabriele Muccino,biography,The Pursuit of Happyness,15/12/2006,Sony,362.3,55,307.1,7.9,3.72,117,143.5
Friday,Mike Mitchell,animation,Alvin and the Chipmunks: Chipwrecked,16/12/2011,Fox,362.3,80,342.7,4.4,2.11,87,209.6
Friday,Paul Greengrass,action,The Bourne Supremacy,23/07/2004,Universal,363.2,85,288.5,7.8,3.85,108,112.3
Friday,Hayao Miyazaki,animation,Spirited Away,20/09/2002,Buena Vista Studios,363.4,19,274.9,8.6,4.21,125,264.9
Friday,John Woo,action,Face/Off,27/06/1997,Paramount Pictures,364,80,245.7,7.1,3.65,138,133.4
Friday,Darren Aronofsky,action,Noah,28/03/2014,Paramount Pictures,364.2,130,362.6,5.9,2.84,138,261.4
Friday,"Ray Patterson, Charles Nichols",animation,Scooby-Doo,14/06/2002,WB,364.4,84,275.7,4.9,2.4,90,122.4
Friday,Joseph McGinty Nichol,action,Charlie's Angels,3/11/2000,Sony,364.7,90,264.1,8.1,3.8,98,138.8
Friday,John McTiernan,action,The Hunt for Red October,2/3/1990,Paramount Pictures,364.8,30,200.5,7.6,3.86,134,78.5
Friday,Martin Campbell,action,The Mask of Zorro,17/07/1998,Sony,365.2,65,250.3,6.7,3.29,136,156.2
Friday,Tony Scott,action,Enemy of the State,20/11/1998,Buena Vista Studios,365.6,85,250.6,7.3,3.54,132,139.1
Friday,Francis Ford Coppola,horror,Bram Stoker's Dracula,13/11/1992,Colombia Pictures,365.9,40,215.9,5.6,3.1,128,133.3
Friday,Nora Ephron,romance,You've Got Mail,18/12/1998,WB,365.9,65,250.8,6.5,3.16,119,135
Friday,Rob Cohen,action,XXX,9/8/2002,Revolution Studios,366.7,70,277.4,5.8,2.81,124,135.3
Friday,Mike Newell,action,Prince of Persia: The Sands of Time,28/05/2010,Buena Vista Studios,366.9,200,336.4,6.6,3.26,116,245.6
Friday,Chuck Russell,action,Eraser,21/06/1996,WB,367.2,100,242.3,6,3.18,115,141
Friday,Jonathan Liebesman,action,Teenage Mutant Ninja Turtles,30/03/1990,New Line Cinema,367.5,93,202,6,2.81,101,66.7
Friday,Ivan Reitman,action,Kindergarten Cop,21/12/1990,Universal,367.5,26,202,5.9,2.82,111,110.5
Friday,Tim Johnson,animation,Home,27/03/2015,Fox,367.7,130,367.7,6.8,2.38,94,193
Thursday,David Fincher,drama,The Curious Case of Benjamin Button,25/12/2008,Paramount Pictures,368.8,160,333.9,7.8,3.65,166,206.4
Friday,Simon West,action,Lara Croft: Tomb Raider,15/06/2001,Paramount Pictures,368.9,94,274.7,5.7,2.77,100,143.5
Thursday,Todd Phillips,comedy,The Hangover Part III,23/05/2013,WB,369.5,103,362,5.9,2.93,100,249.8
Friday,David Fincher,drama,Gone Girl,3/10/2014,Fox,369.8,61,368.1,6.7,3.43,149,200.3
Friday,Doug Liman,action,Edge of Tomorrow,6/6/2014,WB,370.9,178,369.2,7.9,3.85,113,269
Friday,Genndy Tartakovsky,animation,Hotel Transylvania,28/09/2012,Sony,371.2,85,358.4,7.1,3.38,91,210.1
Friday,Mel Smith,comedy,Bean,17/10/1997,Gramercy Pictures,372.2,18,251.2,7.3,3.68,90,205.9
Friday,Bryan Singer,action,X-Men: First Class,3/6/2011,Fox,373.8,200,353.6,7.8,3.84,131,207.2
Sunday,"Ron Clements, John Musker",animation,Hercules,15/06/1997,Buena Vista Studios,374.4,70,252.7,6.1,2.9,92,153.6
Friday,Nora Ephron,romance,Sleepless in Seattle,25/06/1993,TriStar,374.9,21,227.8,6.8,3.52,105,101.1
Wednesday,"Simon J. Smith, Eric Darnell",animation,Penguins of Madagascar,26/11/2014,Fox,375.3,132,373.6,6.8,3.3,92,290.2
Friday,Timur Bekmambetov,action,Wanted,27/06/2008,Universal,377.1,75,341.4,6.7,3.51,110,206.9
Friday,Stephen Sommers,action,Van Helsing,7/5/2004,Universal,378,170,300.3,6,2.8,131,180.1
Friday,Sharon Maguire,comedy,Bridget Jones's Diary,13/04/2001,MiraMax,378.5,25,281.9,6.7,3.46,97,210.4
Wednesday,Peter Cattaneo,comedy,The Full Monty,13/08/1997,Fox Searchlight Pictures,382.1,3.5,257.9,7.2,3.73,91,212
Friday,Mark Dindal,animation,Chicken Little,4/11/2005,Buena Vista Studios,382.8,60,314.4,5.8,2.91,81,179
Wednesday,Jon M. Chu,action,G.I. Joe: Retaliation,27/03/2013,Paramount Pictures,383.5,130,375.7,5.8,2.75,110,253.2
Friday,Keenen Ivory Wayans,comedy,Scary Movie,7/7/2000,MiraMax,383.9,19,278,7.2,2.77,88,121
Friday,Peter Weir,drama,The Truman Show,5/6/1998,Paramount Pictures,385.3,60,264.1,5.5,2.81,103,138.5
Friday,David Frankel,comedy,The Devil Wears Prada,30/06/2006,Fox,385.3,35,326.6,6.8,3.41,109,201.8
Friday,James B. Rogers,comedy,American Pie 2,10/8/2001,Universal,386.2,30,287.6,6.4,2.98,108,142.5
Wednesday,Robert Zemeckis,animation,The Polar Express,10/11/2004,WB,387.1,170,307.5,6.6,3.16,100,124.1
Friday,Olivier Megaton,action,Taken 2,5/10/2012,Fox,389.6,45,376.1,6.3,3.17,92,236.3
Wednesday,Kevin Lima,comedy,Enchanted,21/11/2007,Buena Vista Studios,390.6,85,340.5,7.2,3.6,107,212.7
Friday,Luc Besson,action,The Fifth Element,9/5/1997,Sony,391,95,263.9,7.6,3.71,126,200.1
Friday,Harald Zwart,action,The Karate Kid,11/6/2010,Sony,391.6,40,359.1,7.2,3.2,140,182.5
Friday,Joe Johnston,action,Captain America: The First Avenger,22/07/2011,Paramount Pictures,391.8,140,370.6,6.8,3.56,124,193.9
Thursday,Jay Roach,action,Austin Powers in Goldmember,25/07/2002,New Line Cinema,392.2,63,296.7,6.2,2.99,94,83.3
Friday,Emile Ardolino,comedy,Sister Act,29/05/1992,Buena Vista Studios,392.6,31,231.6,6.2,2.97,100,92
Wednesday,Mike Newell,comedy,Four Weddings and a Funeral,9/3/1994,Gramercy Pictures,394.3,4.5,245.7,7.3,3.34,117,193
Wednesday,Steven Spielberg,animation,The Adventures of Tintin,21/12/2011,Paramount Pictures,395.4,130,374,7.4,3.58,107,296.4
Friday,"Karey Kirkpatrick, Tim Johnson",animation,Over the Hedge,19/05/2006,Pacific Data/DreamWorks,396.3,80,336,6.8,3.42,83,181
Friday,Chris Noonan,adventure,Babe,4/8/1995,Universal,396.5,30,254.1,6.8,3.65,89,190.5
Friday,"Peter Farrelly, Bobby Farrelly",comedy,Dumb and Dumber,16/12/1994,New Line Cinema,396.8,16,247.3,7.3,2.95,107,120.1
Wednesday,Martin Scorsese,biography,The Wolf of Wall Street,25/12/2013,Paramount Pictures,400.2,100,392,8.2,3.79,180,275.1
Friday,Robert Zemeckis,drama,What Lies Beneath,21/07/2000,DreamWorks,402.4,90,291.4,6.6,3.23,130,136
Friday,Tim Story,action,Fantastic Four,8/7/2005,Fox,402.6,87.5,330.6,5.7,2.9,106,175.9
Friday,Matthew Vaughn,action,Kingsman: The Secret Service,13/02/2015,Fox,403.8,81,403.8,7.9,3.66,129,275.5
Wednesday,"Ron Clements, John Musker",animation,The Little Mermaid,15/11/1989,Buena Vista Studios,405.2,40,211.3,6.6,3.24,83,99.8
Friday,Rob Marshall,comedy,Chicago,27/12/2002,MiraMax,405.6,30,306.8,7.2,3.58,113,136.1
Friday,Bryan Singer,action,X-Men,14/07/2000,Fox,409.2,200,296.3,7.4,3.59,131,139
Friday,Frank Darabont,crime,The Green Mile,10/12/1999,WB,409.4,60,286.8,8.5,3.99,189,150
Friday,Joe Johnston,adventure,Jumanji,15/12/1995,Sony,410.1,65,262.8,6.8,3.22,104,162.3
Friday,Rupert Sanders,action,Snow White and the Huntsman,1/6/2012,Universal,410.8,170,396.6,6.1,2.99,127,241.3
Thursday,Joseph McGinty Nichol,action,Terminator Salvation,21/05/2009,WB,411.7,200,371.4,6.7,3.27,115,246
Friday,Rob Reiner,thriller,A Few Good Men,11/12/1992,Colombia Pictures,412.2,33,243.2,7.6,3.81,138,101.9
Friday,"Kevin Reynolds, Kevin Costner",action,Waterworld,28/07/1995,Universal,412.3,175,264.2,6.1,2.86,136,176
Friday,Ivan Reitman,action,Ghostbusters II,16/06/1989,Colombia Pictures,413.1,37,215.4,6.5,2.98,108,102.9
Friday,Gavin Hood,action,X-Men Origins: Wolverine,1/5/2009,Fox,413.6,150,373.1,6.7,3.33,107,193.2
Friday,Tim Hill,animation,Alvin and the Chipmunks,14/12/2007,Fox,414.5,55,361.3,5.3,2.54,92,144
Friday,Cameron Crowe,comedy,Jerry Maguire,13/12/1996,Sony,414.7,50,273.6,7.3,3.63,139,119.6
Friday,Tom Shadyac,comedy,The Nutty Professor,28/06/1996,Universal,415.3,55,274,5.5,2.91,95,145.1
Wednesday,Jay Roach,comedy,Meet the Parents,22/12/2004,Universal,415.9,60,330.4,7,3.46,115,164.2
Friday,Richard Donner,action,Lethal Weapon 4,10/7/1998,WB,416.4,140,285.4,6.6,3.12,127,155
Wednesday,"Danny Boyle, Loveleen Tandan",drama,Slumdog Millionaire,12/11/2008,Fox Searchlight Pictures,417.4,14,377.9,8,3.96,120,236.6
Friday,Ridley Scott,adventure,Prometheus,8/6/2012,Fox,417.8,125,403.4,7,3.43,124,276.9
Friday,Guillermo del Toro,action,Pacific Rim,12/7/2013,WB,419.6,190,411,6.1,2.78,131,309.2
Friday,Renny Harlin,action,Cliffhanger,28/05/1993,TriStar,419.7,65,255,6.4,3.07,113,171
Friday,Ron Howard,biography,A Beautiful Mind,21/12/2001,Universal,421,78,313.5,8.2,3.93,135,142.8
Friday,John Madden,comedy,Shakespeare in Love,11/12/1998,MiraMax,422.1,26,289.3,7.2,3.84,123,189
Friday,"Conrad Vernon, Rob Letterman",animation,Monsters Vs. Aliens,27/03/2009,Pacific Data/DreamWorks,422.9,175,381.5,6.6,3.29,94,183.2
Wednesday,"Carlos Saldanha, Michael Thurmeier",animation,Ice Age,1/7/2009,Fox,424.9,90,383.3,7.6,3.61,94,206.9
Saturday,Chris Weitz,adventure,The Golden Compass,1/12/2007,New Line Cinema,427,205,372.2,6.1,3.18,113,302.1
Friday,Joe Johnston,adventure,"Honey, I Shrunk the Kids",23/06/1989,Buena Vista Studios,427.1,18,222.7,6.2,2.69,93,92
Friday,J. J. Abrams,sci-fi,Star Trek,8/5/2009,Paramount Pictures,427.5,140,385.7,8,3.97,127,128
Friday,Rob Minkoff,adventure,Stuart Little,17/12/1999,Sony,428.4,133,300.1,5.9,2.91,84,160.1
Friday,Catherine Hardwicke,drama,Twilight,21/11/2008,Summit Entertainment,433.6,37,392.6,5.2,2.76,122,199.8
Friday,Ivan Reitman,comedy,Twins,9/12/1988,Universal,435.4,15,216.6,5.9,2.82,105,104.7
Friday,Joseph Kosinski,action,Tron Legacy,17/12/2010,Buena Vista Studios,436.3,200,400.1,6.8,3.38,125,228
Wednesday,Renny Harlin,action,Die Hard 2: Die Harder,4/7/1990,Fox,436.7,70,240,7.1,3.42,124,122.5
Friday,Richard Donner,action,Lethal Weapon 2,7/7/1989,WB,437.1,25,227.9,7.2,3.29,114,80.6
Friday,Alex Proyas,sci-fi,"I, Robot",16/07/2004,Fox,437.1,105,347.2,7.1,3.46,115,202.4
Friday,Jon Turteltaub,adventure,National Treasure,19/11/2004,Buena Vista Studios,437.5,100,347.5,6.9,3.42,131,174.5
Wednesday,Adrian Lyne,drama,Indecent Proposal,7/4/1993,Paramount Pictures,438.7,38,266.6,5.8,2.85,117,160
Wednesday,Len Wiseman,action,Live Free or Die Hard,27/06/2007,Fox,439.9,110,383.5,7.2,3.58,128,249
Tuesday,Quentin Tarantino,adventure,Django Unchained,25/12/2012,Weinstein Company,440.6,100,425.4,8.5,4.04,165,262.6
Friday,Brad Peyton,action,San Andreas,29/05/2015,WB,441.2,110,441.2,6.6,2.84,114,299.2
Friday,Garry Marshall,comedy,Runaway Bride,30/07/1999,Paramount Pictures,441.8,70,309.5,6.6,3.46,116,157.2
Friday,Rob Cohen,action,The Mummy: Tomb of the Dragon Emperor,1/8/2008,Universal,443,175,401.1,5.2,2.63,112,298.6
Friday,P. J. Hogan,comedy,My Best Friend's Wedding,20/06/1997,Sony,443.5,46,299.3,7.1,3.33,105,172.2
Friday,"Barry Cook, Tony Bancroft",animation,Mulan,19/06/1998,Buena Vista Studios,444,90,304.3,7.5,2.84,88,183.7
Wednesday,Sydney Pollack,thriller,The Firm,30/06/1993,Paramount Pictures,444.7,42,270.2,6.8,3.5,154,111.9
Thursday,Robert Zemeckis,action,Back to the Future Part III,24/05/1990,Universal,444.9,40,244.5,7.4,3.24,118,156.8
Thursday,Jay Roach,comedy,Austin Powers: The Spy Who Shagged Me,10/6/1999,New Line Cinema,445.3,35,312,6.6,3.21,95,106
Friday,Emile Ardolino,drama,Dirty Dancing,21/08/1987,Vestron Pictures,448,6,214,6.8,3.22,100,150
Friday,Andy Tennant,comedy,Hitch,11/2/2005,Sony,448.2,55,368.1,8.2,3.94,118,188.6
Friday,Tom Shadyac,comedy,Liar Liar,21/03/1997,Universal,448.5,45,302.7,6.8,3.21,86,121.3
Friday,"Brad Silberling, Phil Nibbelink",comedy,Casper,26/05/1995,Universal,449.2,55,287.9,6,2.9,100,187.6
Wednesday,"Olivier Nakache, Eric Toledano",drama,The Intouchables,2/11/2011,Weinstein Company,451,10,426.6,8.6,4.14,112,416.4
Friday,Tom Hooper,biography,The King's Speech,26/11/2010,Weinstein Company,451.7,15,414.2,8.1,4.02,118,275.4
Friday,Tim Burton,action,Batman Returns,19/06/1992,WB,452.2,80,266.8,7,3.09,126,104
Friday,Peter Weir,drama,Dead Poets Society,2/6/1989,Buena Vista Studios,452.4,16.4,235.9,8,3.89,128,140
Friday,"George Miller, Warren Coleman, Judy Morris",animation,Happy Feet,17/11/2006,WB,453.3,85,384.3,6.5,3.13,108,186.3
Friday,Michael Apted,adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader,10/12/2010,Fox,453.3,155,415.7,6.4,3.36,113,311.3
Friday,Wolfgang Petersen,action,The Perfect Storm,30/06/2000,WB,453.9,120,328.7,6.4,3.08,130,146.1
Wednesday,Christopher Nolan,action,Batman Begins,15/06/2005,WB,455.6,150,374.2,8.3,3.97,140,167.4
Friday,Steven Soderbergh,thriller,Ocean's Twelve,10/12/2004,WB,456.6,85,362.7,6.4,3.25,125,237.2
Tuesday,Tom Hooper,drama,Les Miserables (2012),25/12/2012,Universal,457.6,61,441.8,6,2.92,158,293
Friday,Shawn Levy,comedy,Night at the Museum: Battle of the Smithsonian,22/05/2009,Fox,457.9,150,413.1,5.9,3.01,104,235.9
Friday,Michael Patrick King,comedy,Sex and the City,30/05/2008,WB/New Line,458.7,57.5,415.3,6.9,2.93,145,262.6
Friday,Gavin Hood,action,The Wolverine,1/5/2009,Fox,459.8,150,414.8,6.7,3.24,107,282.3
Friday,Luc Besson,action,Lucy,25/07/2014,Universal,461,40,458.9,6.4,3.05,89,332.2
Wednesday,Bryan Singer,action,Superman Returns,28/06/2006,WB,461.3,232,391.1,6.1,3.12,154,191
Friday,"Bibo Bergeron, Rob Letterman, Vicky Jenson",animation,Shark Tale,1/10/2004,DreamWorks,462.4,75,367.3,6,2.91,90,206.4
Friday,Andrew Adamson,action,The Chronicles of Narnia: Prince Caspian,16/05/2008,Buena Vista Studios,463.6,225,419.7,6.6,3.31,150,278
Wednesday,Steven Spielberg,biography,Catch Me If You Can,25/12/2002,DreamWorks,465.4,52,352.1,8,3.85,141,187.5
Wednesday,James L. Brooks,comedy,As Good as It Gets,24/12/1997,Sony,465.5,50,314.2,7.8,3.79,139,165.7
Friday,Brett Ratner,comedy,Rush Hour 2,3/8/2001,New Line Cinema,466.3,90,347.3,6.6,3.23,90,121.2
Friday,Wolfgang Petersen,action,Air Force One,25/07/1997,Sony,467,85,315.2,6.4,3.33,124,142.2
Friday,Ron Howard,thriller,Ransom,8/11/1996,Buena Vista Studios,469.1,70,309.5,5.4,2.88,121,173
Friday,J. J. Abrams,action,Mission: Impossible III,5/5/2006,Paramount Pictures,469.4,150,397.9,6.8,3.31,126,263.8
Friday,"Phil Lord, Chris Miller",animation,The LEGO Movie,7/2/2014,WB,470.9,60,468.8,7.8,3.75,100,211
Friday,Ridley Scott,thriller,Hannibal,9/2/2001,MGM,472.3,87,351.7,8.7,3.15,131,186.6
Friday,Steven Spielberg,sci-fi,Minority Report,21/06/2002,Fox,473.8,102,358.4,7.7,3.66,145,226.3
Friday,Kenneth Branagh,action,Thor,6/5/2011,Paramount Pictures,475,150,449.3,7,3.51,115,268.3
Friday,Paul Verhoeven,action,Total Recall,1/6/1990,Sony,475.4,65,261.3,7.5,3.18,113,141.9
Thursday,Jonathan Demme,thriller,The Silence of the Lambs,14/02/1991,Orion,476.1,20,272.7,8.6,4.18,118,142
Friday,Ron Howard,comedy,How the Grinch Stole Christmas,17/11/2000,Universal,476.6,123,345.1,6,2.91,104,85.1
Wednesday,J. J. Abrams,action,Star Trek Into Darkness,15/05/2013,Paramount Pictures,477.1,190,467.4,7.8,3.82,132,238.6
Wednesday,"John Cornell, Mark Turnbull",action,Crocodile Dundee II,25/05/1988,Paramount Pictures,481.6,14,239.6,5.5,2.57,108,130.3
Friday,"Eric Leighton, Ralph Zondag",animation,Dinosaur,19/05/2000,Buena Vista Studios,483.1,127.5,349.8,6.4,3.12,82,212.1
Wednesday,Stephen Herek,animation,101 Dalmatians (1996),27/11/1996,Buena Vista Studios,486.1,75,320.7,5.6,3.1,103,184.5
Friday,Tim Burton,action,Planet of the Apes (2001),27/07/2001,Fox,486.4,100,362.2,5.7,2.74,119,182.2
Friday,Jonathan Liebesman,action,Teenage Mutant Ninja Turtles (2014),8/8/2014,Paramount Pictures,487.2,125,485,7.9,3.84,101,293.8
Friday,Joel Zwick,comedy,My Big Fat Greek Wedding,19/04/2002,IFC,487.4,5,368.7,6.6,3.46,95,127.3
Friday,Rob Cohen,action,Fast and Furious,22/06/2001,Universal,487.7,38,363.2,6.7,2.88,106,208.1
Friday,Rich Moore,animation,Wreck-It Ralph,2/11/2012,Buena Vista Studios,488.1,165,471.2,7.8,3.82,101,281.8
Wednesday,Betty Thomas,animation,Alvin and the Chipmunks: The Squeakquel,23/12/2009,Fox,491.2,70,443.1,4.4,2.13,88,223.5
Friday,"Gary Trousdale, Kirk Wise",animation,The Hunchback of Notre Dame,21/06/1996,Buena Vista Studios,493,100,325.3,6.8,3.3,91,225.2
Friday,Roger Spottiswoode,action,Tomorrow Never Dies,19/12/1997,MGM,493.4,110,333,6.5,3.23,119,207.7
Wednesday,Joe Johnston,action,Jurassic Park III,18/07/2001,Universal,495.2,93,368.8,5.9,2.65,92,187.6
Friday,Carlos Saldanha,animation,Rio 2,11/4/2014,Fox,502.5,130,500.2,6.4,3.08,101,368.7
Friday,Sam Raimi,adventure,Oz The Great and Powerful,8/3/2013,Buena Vista Studios,503.6,200,493.3,6.4,2.99,130,258.4
Friday,Michael Bay,action,The Rock,7/6/1996,Buena Vista Studios,507.9,75,335.1,7.4,3.7,136,201
Friday,Paul Greengrass,action,The Bourne Ultimatum,3/8/2007,Universal,508,130,442.8,8.1,3.98,115,215.4
Wednesday,Sam Mendes,drama,American Beauty,15/09/1999,DreamWorks,508.6,15,356.3,8.4,4.17,122,226.2
Friday,Rupert Wyatt,sci-fi,Rise of the Planet of the Apes,5/8/2011,Fox,509.4,93,481.8,8.6,4.07,105,305
Friday,Mimi Leder,action,Deep Impact,8/5/1998,Paramount Pictures,509.9,80,349.5,6.1,2.95,120,209
Friday,David Fincher,crime,Seven,22/09/1995,New Line Cinema,510.7,30,327.3,8.7,4.05,127,227.2
Friday,Carlos Saldanha,animation,Rio,15/04/2011,Fox,512.3,90,484.6,7,3.36,96,341
Friday,Michael Apted,action,The World Is Not Enough,19/11/1999,MGM,516.4,135,361.8,6.4,3.2,128,234.9
Friday,Nancy Meyers,comedy,What Women Want,15/12/2000,Paramount Pictures,516.6,65,374.1,6.4,3.14,127,191.3
Friday,Todd Phillips,comedy,The Hangover,5/6/2009,WB,518.2,35,467.5,7.8,3.77,100,190.2
Friday,Roger Michell,comedy,Notting Hill,28/05/1999,Universal,519.4,42,363.9,7,3.45,124,247.8
Friday,Zack Snyder,action,300,9/3/2007,WB,523.2,60,456.1,7.8,3.68,117,245.5
Friday,Jon Turteltaub,action,National Treasure: Book of Secrets,21/12/2007,Buena Vista Studios,524.7,130,457.4,6.5,3.3,124,237.4
Friday,Joel Schumacher,action,Batman Forever,16/06/1995,WB,525.1,100,336.5,5.4,2.92,121,152.5
Wednesday,Steven Spielberg,adventure,Hook,11/12/1991,TriStar,525.4,70,300.9,6.7,3.18,144,181.2
Thursday,Bryan Singer,action,X2: X-Men United,24/04/2003,Fox,526.9,110,407.7,7.5,3.68,134,192.8
Wednesday,Steven Spielberg,biography,Schindler's List,15/12/1993,Universal,528.8,25,321.3,8.9,4.31,195,225.2
Wednesday,John Lasseter,animation,A Bug's Life,25/11/1998,Buena Vista Studios,530.2,120,363.4,7.2,3.61,96,200.6
Friday,Gareth Edwards,action,Godzilla (2014),16/05/2014,WB,531.1,160,528.7,6.5,2.96,123,328
Friday,Louis Leterrier,action,Clash of the Titans,2/4/2010,WB,537.9,125,493.2,5.8,2.8,106,330
Friday,Ron Howard,thriller,Angels & Demons,15/05/2009,Sony,538.6,150,485.9,6.7,3.28,138,352.6
Friday,Kenneth Branagh,drama,Cinderella,13/03/2015,Buena Vista Studios,539,95,539,7.3,3.48,105,338.7
Friday,M. Night Shyamalan,drama,Signs,2/8/2002,Buena Vista Studios,539.6,70.7,408.2,6.7,3.27,106,180.3
Wednesday,"Bobby Farrelly, Peter Farrelly",comedy,There's Something About Mary,15/07/1998,Fox,539.7,22,369.9,7.1,3.55,119,193.4
Friday,"Chris Sanders, Dean DeBlois",animation,How to Train Your Dragon,26/03/2010,Pacific Data/DreamWorks,539.7,165,494.9,8.2,4.01,98,277.3
Friday,"Mike Babriel, Eric Goldberg",animation,Pocahontas,23/06/1995,Buena Vista Studios,540.1,75,346.1,6.6,2.94,81,204.5
Friday,Brett Ratner,action,X-Men: The Last Stand,26/05/2006,Fox,541.9,150,459.4,6.8,3.36,104,225
Friday,"John Lasseter, Joe Ranft",animation,Cars,9/6/2006,Buena Vista Studios,545,70,462,7.2,3.51,117,217.9
Friday,Richard Donner,action,Lethal Weapon 3,15/05/1992,WB,545.3,35,321.7,6.7,3.28,118,177
Friday,Brian Levant,comedy,The Flintstones,27/05/1994,Universal,548.1,45,341.6,4.8,2.43,91,211.1
Friday,Martin Campbell,action,GoldenEye,17/11/1995,MGM,549.6,60,352.2,7.2,3.44,130,245.8
Thursday,Clint Eastwood,action,American Sniper,25/12/2014,WB,549.6,58,547.1,7.4,3.5,132,197
Friday,Marc Forster,sci-fi,World War Z,21/06/2013,Paramount Pictures,551.2,190,540,7,3.36,116,337.6
Wednesday,"Andy Wachowski, Lana Wachowski",sci-fi,The Matrix Revolutions,5/11/2003,WB,552.3,110,427.3,6.7,3.15,129,288
Wednesday,Gareth Edwards,action,Godzilla,20/05/1998,Sony,552.9,160,379,6.5,2.96,123,242.7
Friday,Ron Howard,adventure,Apollo 13,30/06/1995,Universal,554.3,65,355.2,7.6,3.88,140,181.4
Friday,Richard Stanley,drama,Brave,22/06/2012,Buena Vista Studios,558.3,185,539,7.2,3.59,50,301.7
Friday,Stephen Sommers,action,The Mummy,4/5/2001,Universal,558.5,98,415.9,7,1.5,130,260.5
Tuesday,Jonathan Mostow,action,Terminator 3: Rise of the Machines,1/7/2003,WB,560.1,170,433.4,6.4,3.12,109,283
